FULL NAME,TEAM,POS,AGE
James Harden,Hou,G,29.63
Maurice Harkless,Por,F,25.92
Montrezl Harrell,Lac,F-C,25.21
Devin Harris,Dal,G,36.12
Gary Harris,Den,G,24.57
Joe Harris,Bro,G-F,27.59
Andrew Harrison,Mem,G,24.47
Andrew Harrison,Cle,G,24.47
Andrew Harrison,Nor,G,24.47
Shaquille Harrison,Chi,G,25.51
Tobias Harris,Lac,F,26.74
Tobias Harris,Phi,F,26.74
Isaiah Hartenstein,Hou,F-C,20.93
Josh Hart,Lal,G,24.1
Udonis Haslem,Mia,F,38.84
Gordon Hayward,Bos,F,29.05
John Henson,Mil,F,28.29
Juancho Hernangomez,Den,F,23.54
Willy Hernangomez,Cha,C,24.87
Mario Hezonja,Nyk,F,24.12
Isaiah Hicks,Nyk,F,24.72
Buddy Hield,Sac,G,25.32
Haywood Highsmith,Phi,F,22.34
George Hill,Cle,G,32.94
George Hill,Mil,G,32.94
Solomon Hill,Nor,F,28.07
Aaron Holiday,Ind,G,22.53
Jrue Holiday,Nor,G,28.83
Justin Holiday,Chi,G,30.02
Justin Holiday,Mem,F-G,30.02
John Holland,Cle,G,30.43
Rondae Hollis-Jefferson,Bro,F,24.27
Richaun Holmes,Pho,F-C,25.49
Rodney Hood,Cle,G,26.47
Rodney Hood,Por,G,26.47
Al Horford,Bos,F-C,32.86
Danuel House Jr.,Hou,F-G,25.84
Dwight Howard,Was,C,33.34
Kevin Huerter,Atl,G,20.62
Isaac Humphries,Atl,C,21.26
RJ Hunter,Bos,G,25.46
Chandler Hutchison,Chi,F,22.96
Serge Ibaka,Tor,F-C,29.56
Andre Iguodala,Gol,G-F,35.2
Ersan Ilyasova,Mil,F,31.91
Joe Ingles,Uta,F,31.52
Andre Ingram,Lal,G,33.39
Brandon Ingram,Lal,F,21.61
Kyrie Irving,Bos,G,27.05
Jonathan Isaac,Orl,F,21.52
Wes Iwundu,Orl,F,24.31
Jaren Jackson Jr.,Mem,F-C,19.57
Demetrius Jackson,Phi,G,24.59
Frank Jackson,Nor,G,20.94
Josh Jackson,Pho,F,22.16
Justin Jackson,Sac,F,24.04
Justin Jackson,Dal,F,24.04
Reggie Jackson,Det,G,28.99
LeBron James,Lal,F,34.28
Amile Jefferson,Orl,F,25.93
John Jenkins,Was,G,28.1
John Jenkins,Nyk,G,28.1
Jonas Jerebko,Gol,F,32.11
Alize Johnson,Ind,F,22.97
Amir Johnson,Phi,C-F,31.95
BJ Johnson,Atl,F,23.31
BJ Johnson,Sac,F,23.31
James Johnson,Mia,F,32.14
Stanley Johnson,Det,F,22.87
Stanley Johnson,Nor,F,22.87
Tyler Johnson,Mia,G,26.93
Tyler Johnson,Pho,G,26.93
Wesley Johnson,Nor,F-G,31.75
Wesley Johnson,Was,F-G,31.75
Nikola Jokic,Den,C,24.14
Derrick Jones Jr.,Mia,F-G,22.15
Damian Jones,Gol,C,23.78
Jalen Jones,Cle,F,25.87
Jemerrio Jones,Lal,F,24.01
Terrence Jones,Hou,F,27.25
Tyus Jones,Min,G,22.92
DeAndre Jordan,Dal,C,30.72
DeAndre Jordan,Nyk,C,30.72
Cory Joseph,Ind,G,27.64
Frank Kaminsky,Cha,F-C,26.02
Enes Kanter,Nyk,C,26.89
Enes Kanter,Por,C,26.89
Luke Kennard,Det,G,22.8
Michael Kidd-Gilchrist,Cha,F,25.54
George King,Pho,F,25.24
Maxi Kleber,Dal,F,27.2
Brandon Knight,Hou,G,27.36
Brandon Knight,Cle,G,27.36
Kevin Knox,Nyk,F,19.67
Furkan Korkmaz,Phi,G-F,21.72
Luke Kornet,Nyk,F-C,23.74
Kyle Korver,Cle,G-F,38.07
Kyle Korver,Uta,G-F,38.07
Kosta Koufos,Sac,C,30.13
Rodions Kurucs,Bro,F,21.18
Kyle Kuzma,Lal,F,23.72
Skal Labissiere,Sac,F,23.06
Skal Labissiere,Por,F,23.06
Jeremy Lamb,Cha,G,26.86
Zach LaVine,Chi,G,24.09
Jake Layman,Por,F,25.1
TJ Leaf,Ind,F,21.95
Courtney Lee,Nyk,G,33.52
Courtney Lee,Dal,G,33.52
Damion Lee,Gol,G,26.47
Walter Lemon Jr.,Chi,G,27.71
Alex Len,Atl,C,25.82
Kawhi Leonard,Tor,F,27.78
Meyers Leonard,Por,F-C,27.12
Jon Leuer,Det,F,29.91
Caris LeVert,Bro,G,24.63
Damian Lillard,Por,G,28.74
Jeremy Lin,Atl,G,30.63
Jeremy Lin,Tor,G,30.63
Shaun Livingston,Gol,G,33.58
Zach Lofton,Det,G,26.39
Kevon Looney,Gol,F,23.18
Brook Lopez,Mil,C,31.03
Robin Lopez,Chi,C,31.03
Kevin Love,Cle,F-C,30.59
Kyle Lowry,Tor,G,33.05
Jordan Loyd,Tor,G,25.71
Kalin Lucas,Det,G,29.88
Timothe Luwawu-Cabarrot,Okc,G-F,23.92
Timothe Luwawu-Cabarrot,Chi,G-F,23.92
Tyler Lydon,Den,F,23
Trey Lyles,Den,F,23.43
Scott Machado,Lal,G,28.84
Shelvin Mack,Mem,G,28.97
Shelvin Mack,Cha,G,28.97
Daryl Macon,Dal,G,23.37
J.P. Macura,Cha,G,23.85
Ian Mahinmi,Was,C,32.43
Thon Maker,Mil,F,22.12
Thon Maker,Det,F,22.12
Boban Marjanovic,Lac,C,30.65
Boban Marjanovic,Phi,C,30.65
Lauri Markkanen,Chi,F,21.89
Jarell Martin,Orl,F,24.88
Frank Mason,Sac,G,25.02
Yante Maten,Mia,F,22.66
Wesley Matthews,Dal,G-F,32.49
Wesley Matthews,Nyk,G-F,32.49
Wesley Matthews,Ind,G-F,32.49
Luc Mbah a Moute,Lac,F,32.59
Tahjere McCall,Bro,G,24.65
Patrick McCaw,Cle,G,23.46
Patrick McCaw,Tor,G,23.46
CJ McCollum,Por,G,27.56
T.J. McConnell,Phi,G,27.04
Doug McDermott,Ind,F,27.27
JaVale McGee,Lal,C,31.23
Rodney McGruder,Mia,G-F,27.7
Alfonzo McKinnie,Gol,F,26.56
Ben McLemore,Sac,G,26.16
Jordan McRae,Was,G,28.04
Jodie Meeks,Tor,G,31.64
Salah Mejri,Dal,C,32.82
De'Anthony Melton,Pho,G,20.87
Chimezie Metu,San,F,22.06
Khris Middleton,Mil,F,27.66
CJ Miles,Tor,F-G,32.07
CJ Miles,Mem,F-G,32.07
Darius Miller,Nor,F,29.06
Malcolm Miller,Tor,F,26.1
Paul Millsap,Den,F,34.16
Patty Mills,San,G,30.66
Shake Milton,Phi,G,22.54
Nikola Mirotic,Nor,F,28.16
Nikola Mirotic,Mil,F,28.16
Donovan Mitchell,Uta,G,22.59
Naz Mitrou-Long,Uta,G,25.69
Malik Monk,Cha,G,21.18
Greg Monroe,Tor,C,28.85
Greg Monroe,Bos,C,28.85
Greg Monroe,Phi,C,28.85
E'Twaun Moore,Nor,G,30.12
Eric Moreland,Pho,F-C,27.3
Eric Moreland,Tor,F-C,27.3
Jaylen Morris,Mil,G,23.56
Marcus Morris,Bos,F,29.61
Markieff Morris,Was,F,29.61
Markieff Morris,Okc,F,29.61
Monte Morris,Den,G,23.79
Donatas Motiejunas,San,F-C,28.56
Johnathan Motley,Lac,F,23.94
Emmanuel Mudiay,Nyk,G,23.1
Jamal Murray,Den,G,22.13
Dzanan Musa,Bro,G-F,19.93
Mike Muscala,Phi,F-C,27.78
Mike Muscala,Lal,F-C,27.78
Svi Mykhailiuk,Lal,F,21.84
Svi Mykhailiuk,Det,G,21.84
Abdel Nader,Okc,F,25.54
Larry Nance Jr.,Cle,F,26.27
Shabazz Napier,Bro,G,27.74
Nene,Hou,C-F,36.58
Raul Neto,Uta,G,26.89
Georges Niang,Uta,F,25.82
Joakim Noah,Mem,C,34.12
Nerlens Noel,Okc,F-C,25
Dirk Nowitzki,Dal,F,40.81
Frank Ntilikina,Nyk,G,20.7
James Nunnally,Min,F,28.74
James Nunnally,Hou,F,28.74
Jusuf Nurkic,Por,C,24.63
David Nwaba,Cle,G,26.24
Semi Ojeleye,Bos,F,24.35
Jahlil Okafor,Nor,C,23.32
Elie Okobo,Pho,G,21.47
Josh Okogie,Min,G,20.61
Victor Oladipo,Ind,G,26.93
Kelly Olynyk,Mia,F,27.98
Royce O'Neale,Uta,F,25.85
Kyle O'Quinn,Ind,C,29.04
Cedi Osman,Cle,F,24.01
Kelly Oubre Jr.,Was,F,23.34
Kelly Oubre Jr.,Pho,F,23.34
Zaza Pachulia,Det,C,35.16
Jabari Parker,Chi,F,24.07
Jabari Parker,Was,F,24.07
Tony Parker,Cha,G,36.9
Chandler Parsons,Mem,F,30.46
Patrick Patterson,Okc,F,30.08
Justin Patton,Phi,C,21.83
Chris Paul,Hou,G,33.93
Cameron Payne,Chi,G,24.67
Cameron Payne,Cle,G,24.67
Gary Payton II,Was,G,26.36
Elfrid Payton,Nor,G,25.13
Theo Pinson,Bro,G-F,23.43
Mason Plumlee,Den,F-C,29.1
Miles Plumlee,Atl,C,30.61
Jakob Poeltl,San,C,23.49
Quincy Pondexter,San,F,31.09
Otto Porter Jr.,Was,F,25.86
Otto Porter Jr.,Chi,F,25.86
Bobby Portis,Chi,F,24.16
Bobby Portis,Was,F,24.16
Dwight Powell,Dal,F-C,27.73
Norman Powell,Tor,F-G,25.88
Alex Poythress,Atl,F,25.6
Taurean Prince,Atl,F,25.06
Zhou Qi,Hou,F-C,23.23
Ivan Rabb,Mem,F,22.18
Chasson Randle,Was,G,26.18
Julius Randle,Nor,F,24.37
JJ Redick,Phi,G,34.8
Davon Reed,Ind,G,23.83
Cameron Reynolds,Min,G,24.17
Josh Richardson,Mia,F,25.57
Malachi Richardson,Tor,G,23.26
Austin Rivers,Was,G,26.69
Austin Rivers,Hou,G,26.69
Glenn Robinson III,Det,G-F,25.26
Devin Robinson,Was,F,24.1
Duncan Robinson,Mia,F,24.97
Jerome Robinson,Lac,G,22.13
Mitchell Robinson,Nyk,C,21.03
Rajon Rondo,Lal,G,33.13
Derrick Rose,Min,G,30.52
Terrence Ross,Orl,G-F,28.18
Terry Rozier,Bos,G,25.07
Ricky Rubio,Uta,G,28.47
D'Angelo Russell,Bro,G,23.13
Domantas Sabonis,Ind,F,22.94
Brandon Sampson,Chi,G,21.95
JaKarr Sampson,Chi,F,26.06
Dario Saric,Phi,F,25.01
Dario Saric,Min,F,25.01
Tomas Satoransky,Was,G-F,27.45
Dennis Schroder,Okc,G,25.57
Mike Scott,Lac,F,30.74
Mike Scott,Phi,F,30.74
Thabo Sefolosha,Uta,F,34.94
Wayne Selden,Mem,G-F,24.53
Wayne Selden,Chi,G-F,24.53
Collin Sexton,Cle,G,20.27
Landry Shamet,Phi,G,22.08
Landry Shamet,Lac,G,22.08
Iman Shumpert,Sac,G,28.79
Iman Shumpert,Hou,G,28.79
Pascal Siakam,Tor,F,25.03
Jordan Sibert,Atl,G,26.69
Ben Simmons,Phi,G-F,22.72
Jonathon Simmons,Orl,F,29.57
Jonathon Simmons,Phi,F,29.57
Kobi Simmons,Cle,G,21.77
Anfernee Simons,Por,G,19.84
Marcus Smart,Bos,G,25.1
Dennis Smith Jr.,Dal,G,21.38
Dennis Smith Jr.,Nyk,G,21.38
Ish Smith,Det,G,30.77
Jason Smith,Was,F-C,33.11
Jason Smith,Mil,F-C,33.11
Jason Smith,Nor,F-C,33.11
JR Smith,Cle,G-F,33.59
Zhaire Smith,Phi,G,19.85
Tony Snell,Mil,G,27.42
Ray Spalding,Dal,F,22.09
Ray Spalding,Pho,F,22.09
Omari Spellman,Atl,F,21.72
Nik Stauskas,Por,G,25.51
Nik Stauskas,Cle,G,25.51
DJ Stephens,Mem,G-F,28.31
Lance Stephenson,Lal,G,28.6
Edmond Sumner,Ind,G,23.28
Caleb Swanigan,Por,F,21.98
Caleb Swanigan,Sac,F,21.98
Jayson Tatum,Bos,F,21.11
Jeff Teague,Min,G,30.83
Garrett Temple,Mem,G-F,32.93
Garrett Temple,Lac,G-F,32.93
Milos Teodosic,Lac,G,32.06
Jared Terrell,Min,G,24.16
Emanuel Terry,Pho,F,23.64
Emanuel Terry,Mia,F,23.64
Daniel Theis,Bos,F,27.02
Isaiah Thomas,Den,G,30.17
Khyri Thomas,Det,G,22.92
Lance Thomas,Nyk,F,30.96
Klay Thompson,Gol,G,29.17
Tristan Thompson,Cle,F-C,28.08
Sindarius Thornwell,Lac,G,24.4
Anthony Tolliver,Min,F,33.86
Karl-Anthony Towns,Min,F-C,23.4
Gary Trent Jr.,Por,G,20.23
Allonzo Trier,Nyk,G,23.23
PJ Tucker,Hou,F,33.93
Evan Turner,Por,G-F,30.45
Myles Turner,Ind,F-C,23.05
Ekpe Udoh,Uta,C-F,31.89
Tyler Ulis,Chi,G,23.26
Jonas Valanciunas,Tor,C,26.93
Jonas Valanciunas,Mem,C,26.93
Jarred Vanderbilt,Den,F,20.02
Fred VanVleet,Tor,G,25.12
Noah Vonleh,Nyk,F,23.63
Nikola Vucevic,Orl,C,28.46
Dwyane Wade,Mia,G,37.23
Moritz Wagner,Lal,C,21.96
Dion Waiters,Mia,G,27.34
Lonnie Walker IV,San,G,20.32
Kemba Walker,Cha,G,28.93
Tyrone Wallace,Lac,G,24.84
John Wall,Was,G,28.6
Brad Wanamaker,Bos,G,29.71
T.J. Warren,Pho,F,25.6
Julian Washburn,Mem,F-G,27.31
Yuta Watanabe,Mem,G,24.49
Thomas Welsh,Den,C,23.18
Russell Westbrook,Okc,G,30.41
Derrick White,San,G,24.78
Okaro White,Was,F,26.66
Hassan Whiteside,Mia,C,29.83
Andrew Wiggins,Min,G-F,24.13
Robert Williams III,Bos,C-F,21.48
Alan Williams,Bro,F-C,26.2
C.J. Williams,Min,G,29.18
Johnathan Williams,Lal,F,23.89
Kenrich Williams,Nor,G-F,24.36
Lou Williams,Lac,G,32.46
Marvin Williams,Cha,F,32.81
Troy Williams,Sac,F,24.28
D.J. Wilson,Mil,F,23.14
Justise Winslow,Mia,F,23.04
Christian Wood,Mil,F,23.54
Christian Wood,Nor,F,23.54
Delon Wright,Tor,G,26.96
Delon Wright,Mem,G,26.96
Guerschon Yabusele,Bos,F,23.32
Nick Young,Den,G-F,33.86
Thaddeus Young,Ind,F,30.8
Trae Young,Atl,G,20.56
Cody Zeller,Cha,F-C,26.51
Tyler Zeller,Atl,C,29.23
Tyler Zeller,Mem,C,29.23
Ante Zizic,Cle,C,22.27
Ivica Zubac,Lal,C,22.07
Ivica Zubac,Lac,C,22.07
