FULL NAME,TEAM,POS,AGE
Jonah Bolden,Pho,F,24.62
Marques Bolden,Cle,C,22.33
Jordan Bone,Det,G,22.78
Isaac Bonga,Was,G,20.77
Devin Booker,Pho,G,23.79
Chris Boucher,Tor,F-C,27.59
Brian Bowen II,Ind,F-G,21.87
Ky Bowman,Gol,G,23.16
Avery Bradley,Lal,G,29.72
Tony Bradley,Uta,C-F,22.52
Jarrell Brantley,Uta,F,24.19
Ignas Brazdeikis,Nyk,F,21.6
Corey Brewer,Sac,G-F,34.45
Miles Bridges,Cha,F,22.4
Mikal Bridges,Pho,F,23.96
Oshae Brissett,Tor,F-G,22.15
Ryan Broekhoff,Dal,G-F,29.98
Malcolm Brogdon,Ind,G,27.67
Dillon Brooks,Mem,G-F,24.56
Charles Brown Jr.,Atl,G,22.53
Troy Brown Jr.,Was,G-F,21.05
Bruce Brown,Det,G-F,24
Jaylen Brown,Bos,F-G,23.81
Moses Brown,Por,C,20.84
Sterling Brown,Mil,G-F,25.51
Jalen Brunson,Dal,G,23.95
Thomas Bryant,Was,C-F,23.04
Reggie Bullock,Nyk,G-F,29.42
Trey Burke,Phi,G,27.75
Trey Burke,Dal,G,27.75
Alec Burks,Gol,G,29.07
Alec Burks,Phi,G,29.07
Deonte Burton,Okc,G-F,26.54
Jimmy Butler,Mia,F,30.92
Bruno Caboclo,Mem,F,24.9
Bruno Caboclo,Hou,F,24.9
Devontae Cacok,Lal,F,23.85
Kentavious Caldwell-Pope,Lal,G,27.49
Vlatko Cancar,Den,F,23.35
Clint Capela,Hou,C,26.24
DeMarre Carroll,San,F,34.05
DeMarre Carroll,Hou,F,34.05
Wendell Carter Jr.,Chi,C-F,21.33
Jevon Carter,Pho,G,24.92
Vince Carter,Atl,G-F,43.55
Michael Carter-Williams,Orl,G,28.85
Alex Caruso,Lal,G,26.46
Willie Cauley-Stein,Gol,C,26.99
Willie Cauley-Stein,Dal,C,26.99
Tyson Chandler,Hou,C,37.87
Wilson Chandler,Bro,F,33.27
Joe Chealey,Cha,G,24.79
Zylan Cheatham,Nor,F,24.74
Chris Chiozza,Was,G,24.73
Chris Chiozza,Bro,G,24.73
Marquese Chriss,Gol,F,23.12
Brandon Clarke,Mem,F-G,23.9
Gary Clark,Hou,F,25.75
Gary Clark,Orl,F,25.75
Jordan Clarkson,Cle,G,28.19
Jordan Clarkson,Uta,G,28.19
Nicolas Claxton,Bro,F-C,21.33
Chris Clemons,Hou,G,23.06
Antonius Cleveland,Dal,G,26.54
Amir Coffey,Lac,G-F,23.16
John Collins,Atl,F,22.89
Zach Collins,Por,F-C,22.74
Mike Conley,Uta,G,32.84
Pat Connaughton,Mil,G,27.61
Quinn Cook,Lal,G,27.4
Tyler Cook,Cle,F,22.89
Tyler Cook,Den,F,22.89
Robert Covington,Min,F,29.67
Robert Covington,Hou,F,29.67
Allen Crabbe,Atl,G-F,28.35
Allen Crabbe,Min,G-F,28.35
Torrey Craig,Den,F,29.66
Jamal Crawford,Bro,G,40.4
Jae Crowder,Mem,F,30.11
Jae Crowder,Mia,F,30.11
Jarrett Culver,Min,G-F,21.48
Seth Curry,Dal,G,29.98
Stephen Curry,Gol,G,32.42
Troy Daniels,Lal,G,29.09
Troy Daniels,Den,F,29.09
Anthony Davis,Lal,F-C,27.43
Ed Davis,Uta,F,31.2
Terence Davis,Tor,G,23.25
Dewayne Dedmon,Sac,C,31.01
Dewayne Dedmon,Atl,C,31.01
Matthew Dellavedova,Cle,G,29.93
DeMar DeRozan,San,F,31.02
Cheick Diallo,Pho,F-C,23.92
Hamidou Diallo,Okc,G,22.04
Gorgui Dieng,Min,C,30.57
Gorgui Dieng,Mem,C,30.57
Spencer Dinwiddie,Bro,G,27.36
Donte DiVincenzo,Mil,G,23.54
Luka Doncic,Dal,G-F,21.46
Luguentz Dort,Okc,G,21.32
Damyean Dotson,Nyk,G,26.28
Sekou Doumbouya,Det,F,19.64
PJ Dozier,Den,G-F,23.8
Goran Dragic,Mia,G,34.28
Andre Drummond,Det,C,27.01
Andre Drummond,Cle,C,27.01
Jared Dudley,Lal,F,35.1
Kris Dunn,Chi,G,26.41
Carsen Edwards,Bos,G,22.43
Henry Ellenson,Bro,F-C,23.59
Wayne Ellington,Nyk,G,32.71
Joel Embiid,Phi,C-F,26.42
James Ennis III,Phi,F,30.12
James Ennis III,Orl,F,30.12
Drew Eubanks,San,F-C,23.53
Jacob Evans,Gol,G-F,23.16
Jacob Evans,Min,G-F,23.16
Dante Exum,Uta,G,25.09
Dante Exum,Cle,G,25.09
Tacko Fall,Bos,C,24.68
Derrick Favors,Nor,F,29.09
Cristiano Felicio,Chi,F-C,28.1
Terrance Ferguson,Okc,G,22.25
Bruno Fernando,Atl,F-C,22
Yogi Ferrell,Sac,G,27.27
Dorian Finney-Smith,Dal,F,27.28
Bryn Forbes,San,G,27.06
Evan Fournier,Orl,G-F,27.79
De'Aaron Fox,Sac,G,22.65
Melvin Frazier Jr.,Orl,G-F,23.96
Michael Frazier,Hou,G,26.44
Tim Frazier,Det,G,29.79
Markelle Fultz,Orl,G,22.21
Wenyen Gabriel,Sac,F,23.39
Wenyen Gabriel,Por,F,23.39
Daniel Gafford,Chi,F-C,21.87
Danilo Gallinari,Okc,F,32.02
Langston Galloway,Det,G,28.68
Darius Garland,Cle,G,20.55
Marc Gasol,Tor,C,35.54
Rudy Gay,San,F-G,34
Paul George,Lac,F,30.29
Taj Gibson,Nyk,F,35.14
Harry Giles III,Sac,F-C,22.32
Shai Gilgeous-Alexander,Okc,G-F,22.09
Rudy Gobert,Uta,C,28.13
Brandon Goodwin,Atl,G,24.87
Aaron Gordon,Orl,F,24.91
Eric Gordon,Hou,G,31.64
Devonte' Graham,Cha,G,25.48
Treveon Graham,Min,G-F,26.8
Treveon Graham,Atl,G-F,26.8
Jerami Grant,Den,F,26.43
Jerian Grant,Was,G,27.85
Josh Gray,Nor,G,26.93
Danny Green,Lal,G,33.15
Draymond Green,Gol,F,30.45
JaMychal Green,Lac,F-C,30.15
Javonte Green,Bos,G-F,27.06
Jeff Green,Uta,F,33.97
Jeff Green,Hou,F,33.97
Blake Griffin,Det,F,31.42
Marko Guduric,Mem,G,25.44
Kyle Guy,Sac,G,23.01
Rui Hachimura,Was,F,22.52
Devon Hall,Okc,G,25.11
Donta Hall,Det,F,23.02
Donta Hall,Bro,F,23.02
Dusty Hannahs,Mem,G,26.95
Tim Hardaway Jr.,Dal,G,28.41
James Harden,Hou,G,30.97
Maurice Harkless,Lac,F-G,27.26
Maurice Harkless,Nyk,F-G,27.26
Jared Harper,Pho,G,22.92
Montrezl Harrell,Lac,F-C,26.55
Gary Harris,Den,G,25.92
Joe Harris,Bro,G-F,28.94
Shaquille Harrison,Chi,G,26.86
Tobias Harris,Phi,F,28.08
Isaiah Hartenstein,Hou,C-F,22.28
Josh Hart,Nor,G,25.44
Udonis Haslem,Mia,F,40.18
Jaxson Hayes,Nor,C-F,20.23
Gordon Hayward,Bos,F,30.4
John Henson,Cle,F-C,29.63
John Henson,Det,F-C,29.63
Dewan Hernandez,Tor,C-F,23.68
Juancho Hernangomez,Den,F,24.88
Juancho Hernangomez,Min,F,24.88
Willy Hernangomez,Cha,C-F,26.22
Tyler Herro,Mia,G,20.57
Kevin Hervey,Okc,F,24.1
Mario Hezonja,Por,F-G,25.47
Buddy Hield,Sac,G,26.66
George Hill,Mil,G,34.28
Solomon Hill,Mem,F,29.41
Solomon Hill,Mia,F,29.41
Jaylen Hoard,Por,F,21.38
Aaron Holiday,Ind,G,23.87
Jrue Holiday,Nor,G,30.18
Justin Holiday,Ind,F-G,31.36
Rondae Hollis-Jefferson,Tor,F,25.61
Richaun Holmes,Sac,F,26.83
Rodney Hood,Por,G-F,27.82
Al Horford,Phi,C-F,34.2
Talen Horton-Tucker,Lal,G,19.72
Danuel House Jr.,Hou,F-G,27.19
Dwight Howard,Lal,C-F,34.69
William Howard,Hou,F-G,26.81
Kevin Huerter,Atl,G-F,21.97
De'Andre Hunter,Atl,F-G,22.7
Chandler Hutchison,Chi,F-G,24.3
Serge Ibaka,Tor,F,30.91
Andre Iguodala,Mia,G-F,36.55
Ersan Ilyasova,Mil,F,33.25
Joe Ingles,Uta,F-G,32.87
Brandon Ingram,Nor,F,22.95
Kyrie Irving,Bro,G,28.39
Jonathan Isaac,Orl,F,22.87
Wes Iwundu,Orl,F,25.65
Jaren Jackson Jr.,Mem,F-C,20.92
Frank Jackson,Nor,G,22.28
Josh Jackson,Mem,G-F,23.51
Justin Jackson,Dal,F,25.38
Reggie Jackson,Det,G,30.33
Reggie Jackson,Lac,G,30.33
Justin James,Sac,G-F,23.56
LeBron James,Lal,F,35.62
Amile Jefferson,Orl,F,27.27
DaQuan Jeffries,Sac,G-F,22.96
Ty Jerome,Pho,G-F,23.11
Alize Johnson,Ind,F,24.31
BJ Johnson,Orl,F,24.65
Cameron Johnson,Pho,F,24.45
James Johnson,Mia,F,33.48
James Johnson,Min,F,33.48
Keldon Johnson,San,F-G,20.84
Stanley Johnson,Tor,F-G,24.21
Tyler Johnson,Pho,G,28.27
Tyler Johnson,Bro,G,28.27
Nikola Jokic,Den,C,25.49
Derrick Jones Jr.,Mia,F,23.5
Damian Jones,Atl,C,25.13
Tyus Jones,Mem,G,24.26
DeAndre Jordan,Bro,C,32.07
Cory Joseph,Sac,G,28.99
Mfiondu Kabengele,Lac,F-C,23
Frank Kaminsky,Pho,F-C,27.36
Enes Kanter,Bos,C,28.24
Luke Kennard,Det,G,24.14
Michael Kidd-Gilchrist,Cha,F,26.89
Michael Kidd-Gilchrist,Dal,F,26.89
Stanton Kidd,Uta,F,28.41
Louis King,Det,F,21.36
Maxi Kleber,Dal,F,28.54
Brandon Knight,Cle,G,28.7
Brandon Knight,Det,G,28.7
Kevin Knox II,Nyk,F,21.01
John Konchar,Mem,G,24.4
Furkan Korkmaz,Phi,G-F,23.06
Luke Kornet,Chi,C-F,25.09
Kyle Korver,Mil,G-F,39.41
Rodions Kurucs,Bro,F,22.52
Kyle Kuzma,Lal,F,25.06
Skal Labissiere,Por,F-C,24.41
Jeremy Lamb,Ind,G-F,28.21
Romeo Langford,Bos,G-F,20.81
Zach LaVine,Chi,G-F,25.43
Vic Law,Orl,F,24.66
Jake Layman,Min,F,26.44
TJ Leaf,Ind,F,23.29
Jalen Lecque,Pho,G,20.17
Courtney Lee,Dal,G,34.87
Damion Lee,Gol,G-F,27.81
Alex Len,Atl,C,27.16
Alex Len,Sac,C,27.16
Kawhi Leonard,Lac,F,29.13
Meyers Leonard,Mia,C,28.46
Caris LeVert,Bro,G,25.97
Damian Lillard,Por,G,30.09
Nassir Little,Por,F-G,20.51
Kevon Looney,Gol,F,24.52
Brook Lopez,Mil,C,32.37
Robin Lopez,Mil,C,32.37
Kevin Love,Cle,F,31.94
Kyle Lowry,Tor,G,34.39
Timothe Luwawu-Cabarrot,Bro,G-F,25.27
Trey Lyles,San,F,24.78
Daryl Macon,Mia,G,24.71
J.P. Macura,Cle,G,25.2
Josh Magette,Orl,G,30.71
Ian Mahinmi,Was,C,33.78
Thon Maker,Det,F-C,23.47
Terance Mann,Lac,G-F,23.82
Boban Marjanovic,Dal,C,32
Lauri Markkanen,Chi,F-C,23.23
Caleb Martin,Cha,F,24.88
Cody Martin,Cha,F,24.88
Jeremiah Martin,Bro,G,24.15
Kelan Martin,Min,F,25.03
Frank Mason,Mil,G,26.37
Garrison Mathews,Was,G,23.81
Wesley Matthews,Mil,G,33.84
Luc Mbah a Moute,Hou,F,33.93
Patrick McCaw,Tor,G,24.81
CJ McCollum,Por,G,28.9
T.J. McConnell,Ind,G,28.39
Jalen McDaniels,Cha,F-C,22.54
Doug McDermott,Ind,F,28.61
JaVale McGee,Lal,C-F,32.57
Rodney McGruder,Lac,G,29.05
Alfonzo McKinnie,Cle,F,27.91
Jordan McLaughlin,Min,G,24.35
Ben McLemore,Hou,G,27.51
Jordan McRae,Was,G,29.38
Jordan McRae,Den,G,29.38
Jordan McRae,Det,G,29.38
Nicolo Melli,Nor,0,29.55
De'Anthony Melton,Mem,G,22.22
Chimezie Metu,San,F-C,23.4
Khris Middleton,Mil,F,29.01
Eric Mika,Sac,C,25.61
CJ Miles,Was,G,33.41
Malcolm Miller,Tor,G-F,27.44
Paul Millsap,Den,F,35.51
Patty Mills,San,G,32.01
Shake Milton,Phi,G-F,23.88
Donovan Mitchell,Uta,G,23.94
Naz Mitrou-Long,Ind,G,27.03
Adam Mokoka,Chi,G,22.08
Malik Monk,Cha,G,22.53
Matt Mooney,Cle,G,23.52
E'Twaun Moore,Nor,G,31.47
Ja Morant,Mem,G,21.01
Juwan Morgan,Uta,F,23.33
Marcus Morris Sr.,Nyk,F,30.95
Marcus Morris Sr.,Lac,F,30.95
Markieff Morris,Det,F,30.95
Markieff Morris,Lal,F,30.95
Monte Morris,Den,G,25.13
Johnathan Motley,Lac,F,25.28
Emmanuel Mudiay,Uta,G,24.44
Mychal Mulder,Gol,G,26.18
Dejounte Murray,San,G,23.9
Jamal Murray,Den,G,23.47
Dzanan Musa,Bro,G-F,21.27
Mike Muscala,Okc,F-C,29.12
Svi Mykhailiuk,Det,G-F,23.18
Abdel Nader,Okc,F,26.89
Larry Nance Jr.,Cle,F-C,27.62
Shabazz Napier,Min,G,29.09
Shabazz Napier,Was,G,29.09
Raul Neto,Phi,G,28.24
Malik Newman,Cle,G,23.48
Georges Niang,Uta,F,27.16
Joakim Noah,Lac,F-C,35.47
Nerlens Noel,Okc,C-F,26.35
Zach Norvell Jr.,Lal,G-F,22.68
Zach Norvell Jr.,Gol,G-F,22.68
Jaylen Nowell,Min,G,21.35
Frank Ntilikina,Nyk,G,22.05
Kendrick Nunn,Mia,G,25.03
Jusuf Nurkic,Por,C,25.98
David Nwaba,Bro,G-F,27.58
Semi Ojeleye,Bos,F,25.69
Jahlil Okafor,Nor,C-F,24.67
Elie Okobo,Pho,F-G,22.81
Josh Okogie,Min,G,21.95
KZ Okpala,Mia,F-G,21.3
Victor Oladipo,Ind,G,28.28
Kelly Olynyk,Mia,C,29.32
Royce O'Neale,Uta,F,27.2
Miye Oni,Uta,G-F,23.03
Kyle O'Quinn,Phi,C-F,30.39
Cedi Osman,Cle,F,25.35
Kelly Oubre Jr.,Pho,F-G,24.68
Tariq Owens,Pho,F,25.13
Jeremy Pargo,Gol,G,34.44
Jabari Parker,Atl,F,25.42
Jabari Parker,Sac,F,25.42
Chandler Parsons,Atl,F,31.8
Eric Paschall,Gol,F,23.78
Anzejs Pasecniks,Was,C,24.65
Patrick Patterson,Lac,F,31.42
Justin Patton,Okc,C,23.17
Chris Paul,Okc,G,35.28
Cameron Payne,Pho,G,26.02
Gary Payton II,Was,G,27.7
Elfrid Payton,Nyk,G,26.48
Norvel Pelle,Phi,F,27.53
Theo Pinson,Bro,G-F,24.78
Mason Plumlee,Den,F-C,30.45
Jakob Poeltl,San,C,24.83
Vincent Poirier,Bos,C-F,26.8
Shamorie Ponds,Tor,G,19.2
Jordan Poole,Gol,G,21.16
Kevin Porter Jr.,Cle,G-F,20.28
Michael Porter Jr.,Den,F,22.13
Otto Porter Jr.,Chi,F,27.2
Bobby Portis,Nyk,F,25.51
Kristaps Porzingis,Dal,F-C,25.04
Dwight Powell,Dal,F-C,29.07
Norman Powell,Tor,G,27.23
Taurean Prince,Bro,F,26.4
Chasson Randle,Gol,G,27.52
Julius Randle,Nyk,C-F,25.71
Josh Reaves,Dal,G-F,23.2
Cam Reddish,Atl,F-G,20.95
JJ Redick,Nor,G,36.14
Naz Reid,Min,C-F,20.97
Josh Richardson,Phi,G,26.92
Austin Rivers,Hou,G,28.04
Andre Roberson,Okc,G-F,28.7
Glenn Robinson III,Gol,F,26.6
Glenn Robinson III,Phi,F,26.6
Duncan Robinson,Mia,F,26.32
Jerome Robinson,Lac,G,23.48
Jerome Robinson,Was,G,23.48
Justin Robinson,Was,G,22.84
Mitchell Robinson,Nyk,C-F,22.37
Isaiah Roby,Okc,F,22.53
Rajon Rondo,Lal,G,34.48
Derrick Rose,Det,G,31.86
Terrence Ross,Orl,G-F,29.52
Terry Rozier,Cha,G,26.41
Ricky Rubio,Pho,G,29.82
D'Angelo Russell,Gol,G,24.47
D'Angelo Russell,Min,G,24.47
Domantas Sabonis,Ind,F-C,24.28
Luka Samanic,San,F,20.6
JaKarr Sampson,Ind,F,27.41
Dario Saric,Pho,F,26.35
Tomas Satoransky,Chi,G,28.79
Admiral Schofield,Was,G-F,23.38
Dennis Schroder,Okc,G,26.92
Mike Scott,Phi,F,32.08
Thabo Sefolosha,Hou,F-G,36.29
Collin Sexton,Cle,G,21.61
Landry Shamet,Lac,G,23.43
Marial Shayok,Phi,G-F,25.06
Iman Shumpert,Bro,G,30.14
Pascal Siakam,Tor,F,26.37
Chris Silva,Mia,F,23.9
Ben Simmons,Phi,F,24.07
Anfernee Simons,Por,G,21.19
Alen Smailagic,Gol,F,19.99
Marcus Smart,Bos,G,26.44
Dennis Smith Jr.,Nyk,G,22.72
Ish Smith,Was,G,32.11
JR Smith,Lal,G,34.93
Zhaire Smith,Phi,G,21.2
Tony Snell,Det,G,28.76
Omari Spellman,Gol,F,23.07
Max Strus,Chi,G-F,24.38
Edmond Sumner,Ind,G,24.62
Caleb Swanigan,Sac,F,23.33
Caleb Swanigan,Por,F,23.33
Jayson Tatum,Bos,F-G,22.45
Jeff Teague,Min,G,32.18
Jeff Teague,Atl,G,32.18
Garrett Temple,Bro,G-F,34.27
Daniel Theis,Bos,F,28.36
Isaiah Thomas,Was,G,31.52
Khyri Thomas,Det,G,24.27
Lance Thomas,Bro,F,32.31
Matt Thomas,Tor,G,26.03
Tristan Thompson,Cle,C-F,29.43
Sindarius Thornwell,Nor,G,25.75
Matisse Thybulle,Phi,G-F,23.45
Anthony Tolliver,Por,F,35.21
Anthony Tolliver,Sac,F,35.21
Anthony Tolliver,Mem,F,35.21
Juan Toscano-Anderson,Gol,F,27.35
Karl-Anthony Towns,Min,C-F,24.75
Gary Trent Jr.,Por,G-F,21.57
Allonzo Trier,Nyk,G,24.58
P.J. Tucker,Hou,F,35.28
Rayjon Tucker,Uta,G,22.89
Evan Turner,Atl,G-F,31.8
Myles Turner,Ind,C-F,24.39
Jarrod Uthoff,Mem,F,27.24
Jarrod Uthoff,Was,F,27.24
Jonas Valanciunas,Mem,C,28.27
Denzel Valentine,Chi,G,26.75
Jarred Vanderbilt,Den,F,21.37
Jarred Vanderbilt,Min,F,21.37
Fred VanVleet,Tor,G,26.47
Gabe Vincent,Mia,G,24.17
Noah Vonleh,Min,F,24.98
Noah Vonleh,Den,F,24.98
Nikola Vucevic,Orl,C,29.81
Dean Wade,Cle,F-C,23.73
Moritz Wagner,Was,F-C,23.3
Dion Waiters,Mia,G,28.68
Dion Waiters,Lal,G,28.68
Lonnie Walker IV,San,G-F,21.67
Kemba Walker,Bos,G,30.27
Tyrone Wallace,Atl,G,26.18
Derrick Walton Jr.,Lac,G,25.37
Derrick Walton Jr.,Det,G,25.37
Brad Wanamaker,Bos,G,31.06
T.J. Warren,Ind,F,26.94
P.J. Washington,Cha,F,21.98
Yuta Watanabe,Mem,G-F,25.84
Tremont Waters,Bos,G,22.59
Paul Watson,Atl,G,25.63
Paul Watson,Tor,G,25.63
Quinndary Weatherspoon,San,G,23.93
Russell Westbrook,Hou,G,31.75
Coby White,Chi,G,20.49
Derrick White,San,G,26.12
Hassan Whiteside,Por,C,31.17
Andrew Wiggins,Min,F,25.47
Andrew Wiggins,Gol,F,25.47
Robert Williams III,Bos,C-F,22.83
Nigel Williams-Goss,Uta,G,25.91
Grant Williams,Bos,F,21.71
Johnathan Williams,Was,F,25.23
Kenrich Williams,Nor,G-F,25.7
Lou Williams,Lac,G,33.8
Marvin Williams,Cha,F,34.16
Marvin Williams,Mil,F,34.16
Zion Williamson,Nor,F,20.11
D.J. Wilson,Mil,F-C,24.49
Justise Winslow,Mia,G-F,24.39
Christian Wood,Det,F,24.88
Delon Wright,Dal,G,28.3
Justin Wright-Foreman,Uta,G,22.8
Thaddeus Young,Chi,F,32.15
Trae Young,Atl,G,21.9
Cody Zeller,Cha,C,27.86
Tyler Zeller,San,F-C,30.58
Ante Zizic,Cle,C,23.61
Ivica Zubac,Lac,C,23.41
