Player,height,weight,collage
Ernie Barrett,190,81,Kansas State University
Ernie Beck,193,86,University of Pennsylvania
Irv Bemoras,190,83,University of Illinois at Urbana-Champaign
Bill Bolger,196,92,Georgetown University
Walt Davis,203,92,Texas A&M University
Gene Dyker,198,102,DePaul University
Ed Earle,190,86,Loyola University of Chicago
Ray Felix,211,99,Long Island University
Jim Fritsche,203,95,Hamline University
Jack George,188,86,La Salle University
Bato Govedarica,180,83,DePaul University
Norm Grekin,196,81,La Salle University
Rollen Hans,188,95,Long Island University
Bob Houbregs*,201,95,University of Washington
Billy Kenville,188,84,St. Bonaventure University
Dick Knostman,198,97,Kansas State University
Clyde Lovellette*,206,106,University of Kansas
Jim Luisi,188,81,St. Francis College
Jack Molinas,198,90,Columbia University
Jim Neal,211,106,Wofford College
Paul Nolen,211,106,Texas Tech University
Bob Peterson,196,95,University of Oregon
James Phelan,196,88,DePaul University
Connie Rea,190,79,Centenary College of Louisiana
Frank Reddout,196,88,Syracuse University
Al Roges,193,88,Long Island University
Ed Smith,198,81,Harvard University
Joe Smyth,190,97,Niagara University
Don Sunderlage,185,81,University of Illinois at Urbana-Champaign
Norm Swanson,198,95,University of Detroit Mercy
Hal Uplinger,193,83,Long Island University
Isaac Walthour,180,73,
George Yardley*,196,86,Stanford University
Don Anielak,201,86,Missouri State University
Tom Brennan,190,88,Villanova University
Bob Carney,190,77,Bradley University
Fred Christ,193,95,Fordham University
Bert Cook,190,83,Utah State University
Larry Costello,185,84,Niagara University
George Dempsey,188,86,King's College
Fred Diute,190,95,St. Bonaventure University
Dick Farley,193,86,Indiana University
Chuck Grigsby,196,86,University of Dayton
Herm Hedderick,196,77,Canisius College
Ed Kalafat,198,111,University of Minnesota
Mike Kearns,188,80,Princeton University
Red Kerr,206,104,University of Illinois at Urbana-Champaign
Dan King,198,99,Western Kentucky University
Bob Knight,188,83,
Ronnie MacGilvray,188,83,St. John's University
Tom Marshall,193,97,Western Kentucky University
Phil Martin,190,86,University of Toledo
Ken McBride,190,86,University of Maryland Eastern Shore
Carl McNulty,190,83,Purdue University
Jackie Moore,196,81,La Salle University
Red Morrison,203,99,University of Idaho
Boris Nachamkin,198,95,New York University
Togo Palazzi,193,92,College of the Holy Cross
Bob Pettit*,206,92,Louisiana State University
Frank Ramsey*,190,86,University of Kentucky
Dick Rosenthal,196,92,University of Notre Dame
Frank Selvy,190,81,Furman University
Gene Shue,188,77,University of Maryland
Art Spoelstra,206,99,Western Kentucky University
Jim Tucker,201,83,Duquesne University
Jack Turner,193,77,Western Kentucky University
Bobby Watson,183,72,University of Kentucky
Skippy Whitaker,185,81,University of Kentucky
Jesse Arnelle,196,99,Pennsylvania State University
Dick Atha,188,86,Indiana State University
Don Bielke,201,108,Valparaiso University
Ed Conlin,196,90,Fordham University
Red Davis,201,99,St. John's University
Corky Devlin,196,88,George Washington University
Walter Dukes,213,99,Seton Hall University
Ron Feiereisel,190,83,DePaul University
Al Ferrari,193,86,Michigan State University
Ed Fleming,190,85,Niagara University
Dick Garmaker,190,90,University of Minnesota
Tom Gola*,198,92,La Salle University
Chris Harris,190,86,University of Dayton
Dick Hemric,198,99,Wake Forest University
Larry Hennessy,190,83,Villanova University
Johnny Horan,203,86,University of Dayton
Jim Loscutoff,196,99,University of Oregon
Chuck Mencel,183,76,University of Minnesota
Chuck Noble,193,86,University of Louisville
Med Park,188,92,University of Missouri
Richie Regan,188,81,Seton Hall University
Dick Ricketts,201,97,Duquesne University
Bob Santini,196,86,Iona College
Bob Schafer,190,88,Villanova University
Kenny Sears,206,89,Santa Clara University
Jack Stephens,190,83,University of Notre Dame
