Player,height,weight,collage
Mike Gminski,211,113,Duke University
Darrell Griffith,193,86,University of Louisville
Bill Hanzlik,201,83,University of Notre Dame
Alan Hardy,201,88,University of Michigan
Mike Harper,208,88,North Park University
Cedrick Hordges,203,99,University of South Carolina
Tony Jackson,193,90,St. John's University
Lee Johnson,211,92,East Texas State University
Reggie Johnson,206,92,University of Tennessee
Edgar Jones,208,102,"University of Nevada, Reno"
Walter Jordan,201,89,Purdue University
Clarence Kea,198,98,Lamar University
Chad Kinch,193,86,University of North Carolina at Charlotte
Wayne Kreklow,193,79,Drake University
Bill Laimbeer,211,111,University of Notre Dame
Edmund Lawrence,213,103,McNeese State University
Ronnie Lester,188,79,University of Iowa
Kyle Macy,190,79,University of Kentucky
Rick Mahorn,208,108,Hampton University
Wes Matthews,185,77,University of Wisconsin
Bill Mayfield,201,92,University of Iowa
Keith McCord,201,95,University of Alabama at Birmingham
Kevin McHale*,208,95,University of Minnesota
Dick Miller,198,97,University of Toledo
Johnny Moore,185,79,University of Texas at Austin
Lowes Moore,185,77,West Virginia University
Kenny Natt,190,83,University of Louisiana at Monroe
Carl Nicks,185,79,Indiana State University
Mike Niles,198,102,"California State University, Fullerton"
Mike O'Koren,201,93,University of North Carolina
Jawann Oldham,213,97,Seattle University
Louis Orr,203,79,Syracuse University
Myles Patrick,203,99,Auburn University
Tony Price,198,86,University of Pennsylvania
Wally Rank,198,99,San Jose State University
Kelvin Ransey,185,77,Ohio State University
James Ray,203,97,Jacksonville University
Billy Reid,196,86,University of San Francisco
Wayne Robinson,203,98,Virginia Polytechnic Institute and State University
Lorenzo Romar,185,79,University of Washington
DeWayne Scales,203,94,Louisiana State University
Craig Shelton,201,95,Georgetown University
Jerry Sichting,185,76,Purdue University
Larry Smith,203,97,Alcorn State University
Rory Sparrow,188,79,Villanova University
John Stroud,201,97,University of Mississippi
Carlos Terry,196,95,Winston-Salem State University
Andrew Toney,190,80,University of Louisiana at Lafayette
Ronnie Valentine,201,95,Old Dominion University
Kiki Vandeweghe,203,99,"University of California, Los Angeles"
Brett Vroman,213,99,"University of Nevada, Las Vegas"
Hawkeye Whitney,201,104,Iowa State University
Michael Wiley,206,90,"California State University, Long Beach"
James Wilkes,198,86,"University of California, Los Angeles"
Jeff Wilkins,211,104,Illinois State University
Mike Woodson,196,88,Indiana University
Sam Worthen,196,88,Marquette University
Mark Aguirre,198,105,DePaul University
Danny Ainge,193,79,Brigham Young University
Carl Bailey,213,95,Tuskegee University
Gene Banks,201,97,Duke University
Rolando Blackman,198,86,Kansas State University
Ray Blume,193,83,Oregon State University
Alex Bradley,198,86,Texas Southern University
Charles Bradley,196,97,University of Wyoming
Brad Branson,208,99,Southern Methodist University
Jim Brogan,193,83,West Virginia Wesleyan College
Roger Burkman,196,79,University of Louisville
David Burns,188,81,Saint Louis University
Bobby Cattage,206,113,Auburn University
Tom Chambers,208,99,University of Utah
Joe Cooper,208,104,University of Colorado
Charles Davis,188,72,Wake Forest University
Kenny Dennard,203,99,Duke University
Mickey Dillard,190,77,Florida State University
John Douglas,188,77,University of Kansas
Craig Dykema,203,86,"California State University, Long Beach"
Franklin Edwards,185,77,Cleveland State University
Petur Gudmundsson,218,117,University of Washington
Glenn Hagan,183,77,St. Bonaventure University
Steve Hayes,213,92,Idaho State University
Tracy Jackson,198,92,University of Notre Dame
Clay Johnson,208,108,Florida Agricultural and Mechanical University
Frank Johnson,185,83,Wake Forest University
Steve Johnson,203,99,Murray State University
Albert King,198,86,University of Maryland
Jeff Lamp,198,88,University of Virginia
Rock Lee,193,87,University of Oregon
Alton Lister,213,108,Arizona State University
Lewis Lloyd,198,92,Drake University
Kevin Loder,198,92,Alabama State University
Rudy Macklin,201,92,Louisiana State University
John McCullough,193,86,University of Oklahoma
Hank McDowell,206,97,University of Memphis
Mike McGee,196,86,University of Michigan
Kevin McKenna,196,88,Creighton University
Larry Nance,208,92,Clemson University
Kurt Nimphius,208,98,Arizona State University
Mark Radford,193,86,Oregon State University
Ed Rains,201,86,University of South Alabama
Kurt Rambis,203,96,Santa Clara University
Jeff Ruland,208,108,Iona College
Danny Schayes,211,106,Syracuse University
Jim Smith,206,102,Ohio State University
Larry Spriggs,201,104,Howard University
Isiah Thomas*,185,81,Indiana University
Ray Tolbert,206,102,Indiana University
Kelly Tripucka,198,99,University of Notre Dame
Elston Turner,196,86,University of Mississippi
Darnell Valentine,185,83,University of Kansas
Pete Verhoeven,206,97,"California State University, Fresno"
Jay Vincent,201,99,Michigan State University
Danny Vranes,201,95,University of Utah
Buck Williams,203,97,University of Maryland
Herb Williams,208,109,Ohio State University
Garry Witts,201,86,College of the Holy Cross
Al Wood,198,87,University of North Carolina
Howard Wood,201,106,University of Tennessee
Orlando Woolridge,206,97,University of Notre Dame
Rich Yonakor,206,99,University of North Carolina
Dwight Anderson,190,83,University of Southern California
J.J. Anderson,190,83,
Richard Anderson,208,108,"University of California, Santa Barbara"
John Bagley,183,83,Boston College
Dave Batton,208,108,University of Notre Dame
Lester Conner,193,81,Oregon State University
Chubby Cox,188,81,University of San Francisco
Terry Cummings,206,99,DePaul University
Quintin Dailey,190,81,University of San Francisco
Mark Eaton,224,124,"University of California, Los Angeles"
Jerry Eaves,193,81,University of Louisville
Keith Edmonson,196,88,Purdue University
Chris Engler,211,111,University of Wyoming
Bruce Flowers,203,102,University of Notre Dame
Sleepy Floyd,190,77,Georgetown University
Bill Garnett,208,99,University of Portland
John Greig,201,97,University of Oregon
Scott Hastings,208,106,University of Arkansas
Rod Higgins,201,90,"California State University, Fresno"
Craig Hodges,188,86,"California State University, Long Beach"
Marc Iavaroni,203,95,University of Virginia
Jim Johnstone,211,111,Wake Forest University
Hutch Jones,203,86,Vanderbilt University
Clark Kellogg,201,102,Ohio State University
Joe Kopicki,206,108,University of Detroit Mercy
Fat Lever,190,77,Arizona State University
Cliff Levingston,203,95,Wichita State University
Steve Lingenfelter,206,102,South Dakota State University
Dave Magley,203,91,University of Kansas
Mark McNamara,211,106,University of California
Guy Morgan,203,92,Wake Forest University
Ed Nealy,201,107,Kansas State University
Chuck Nevitt,226,98,North Carolina State University
Audie Norris,206,104,Jackson State University
Eddie Phillips,201,102,University of Alabama
Ricky Pierce,193,92,Rice University
Charles Pittman,203,99,University of Maryland
Paul Pressey,196,83,University of Tulsa
Oliver Robinson,193,81,University of Alabama at Birmingham
Walker Russell,196,88,Western Michigan University
Mike Sanders,198,95,"University of California, Los Angeles"
Russ Schoene,208,95,University of Tennessee at Chattanooga
Ed Sherod,188,77,Virginia Commonwealth University
Jose Slaughter,196,92,University of Portland
Derek Smith,190,81,University of Utah
Brook Steppe,196,88,Georgia Institute of Technology
Jeff Taylor,193,79,Texas Tech University
Vince Taylor,196,81,Duke University
Terry Teagle,196,88,Baylor University
David Thirdkill,201,88,Bradley University
Corny Thompson,203,102,University of Connecticut
LaSalle Thompson,208,111,University of Texas at Austin
Darren Tillis,211,97,Cleveland State University
Linton Townes,201,86,James Madison University
Trent Tucker,196,87,University of Minnesota
Bryan Warrick,196,88,Saint Joseph's University
Rory White,203,95,University of South Alabama
Dominique Wilkins*,201,90,University of Georgia
Rickey Williams,185,79,"California State University, Long Beach"
Rob Williams,190,85,West Virginia University
James Worthy*,206,102,University of North Carolina
Jim Zoet,216,108,Kent State University
Ken Austin,206,92,Rice University
Thurl Bailey,211,97,North Carolina State University
Randy Breuer,221,104,University of Minnesota
Wallace Bryant,213,111,University of San Francisco
Howard Carter,196,97,Louisiana State University
Carlos Clark,193,95,University of Mississippi
Leroy Combs,203,95,Oklahoma State University
Russell Cross,208,97,Purdue University
Darren Daye,203,99,"University of California, Los Angeles"
Clyde Drexler*,201,95,University of Houston
Craig Ehlo,198,81,Washington State University
Dale Ellis,201,92,University of Tennessee
Rod Foster,185,72,"University of California, Los Angeles"
John Garris,203,92,Boston College
Mike Gibson,208,92,University of South Carolina Upstate
Stewart Granger,190,86,Villanova University
Sidney Green,188,83,Duquesne University
Bob Hansen,198,86,University of Iowa
Derek Harper,193,83,University of Illinois at Urbana-Champaign
Roy Hinson,206,95,Rutgers University
Charles Jones,206,97,Albany State University
Mark Jones,206,102,Albany State University
Greg Kite,211,113,Brigham Young University
Bruce Kuczenski,208,104,University of Connecticut
Darrell Lockhart,206,111,Auburn University
Sidney Lowe,183,88,North Carolina State University
Jeff Malone,193,92,Mississippi State University
Pace Mannion,201,86,University of Utah
Rodney McCray,201,99,University of Louisville
Scooter McCray,206,97,University of Louisville
Larry Micheaux,206,99,University of Houston
Bob Miller,208,104,University of Cincinnati
John Paxson,188,83,University of Notre Dame
John Pinone,203,104,Villanova University
Tom Piotrowski,216,108,La Salle University
Leo Rautins,203,97,Syracuse University
Doc Rivers,193,83,Marquette University
Fred Roberts,208,98,Brigham Young University
Ralph Sampson*,224,103,University of Virginia
Byron Scott,190,88,Arizona State University
Steve Stipanovich,211,111,University of Missouri
Jon Sundvold,188,77,University of Missouri
Dane Suttle,190,86,Pepperdine University
Jim Thomas,190,86,Indiana University
Paul Thompson,198,95,Tulane University
Sedale Threatt,188,79,West Virginia University Institute of Technology
Granville Waiters,211,102,Ohio State University
Darrell Walker,193,81,University of Arkansas
Brant Weidner,206,104,College of William & Mary
Mark West,208,104,Old Dominion University
Ennis Whatley,190,80,University of Alabama
Mitchell Wiggins,193,83,Florida State University
Kevin Williams,188,79,St. John's University
Michael Wilson,193,79,Marquette University
Randy Wittman,198,95,Indiana University
Chuck Aleksinas,211,117,University of Connecticut
Ron Anderson,201,97,"California State University, Fresno"
Ken Bannister,206,106,Saint Augustine's College
Charles Barkley*,198,114,Auburn University
Cory Blackwell,198,95,University of Wisconsin
Sam Bowie,216,106,University of Kentucky
Frank Brickowski,206,108,Pennsylvania State University
Tony Brown,198,83,University of Arkansas
Steve Burtt,188,83,Iona College
Michael Cage,206,101,San Diego State University
Tony Campbell,201,97,Ohio State University
Rick Carlisle,196,95,University of Virginia
Antoine Carr,206,102,Wichita State University
Ron Cavenall,216,104,Texas Southern University
Steve Colter,190,74,New Mexico State University
Devin Durrant,201,90,Brigham Young University
Kenton Edelin,203,92,University of Virginia
Kenny Fields,196,99,"University of California, Los Angeles"
Vern Fleming,196,83,University of Georgia
Lancaster Gordon,190,83,University of Louisville
Butch Graves,190,90,Yale University
Stuart Gray,213,106,"University of California, Los Angeles"
Mike Holton,193,83,"University of California, Los Angeles"
Jay Humphries,190,83,University of Colorado
Ralph Jackson,188,86,"University of California, Los Angeles"
Earl Jones,213,95,University of the District of Columbia
Ozell Jones,211,106,"California State University, Fullerton"
Michael Jordan*,198,88,University of North Carolina
Jerome Kersey,201,97,Longwood University
Tim McCormick,211,108,University of Michigan
Jay Murphy,206,99,Boston College
Hakeem Olajuwon*,213,115,University of Houston
Sam Perkins,206,106,University of North Carolina
Jim Petersen,208,106,University of Minnesota
Gary Plummer,206,97,Boston University
David Pope,201,99,Norfolk State University
Alvin Robertson,190,83,University of Arkansas
Wayne Sappleton,206,97,Loyola University of Chicago
Tom Scheffler,211,108,Purdue University
John Schweitz,198,95,University of Richmond
Tom Sewell,196,83,Lamar University
Charlie Sitton,203,95,Oregon State University
Tom Sluby,193,90,University of Notre Dame
Terence Stansbury,196,77,Temple University
John Stockton*,185,77,Gonzaga University
Peter Thibeaux,201,95,Saint Mary's College of California
Bernard Thompson,198,95,"California State University, Fresno"
Otis Thorpe,206,102,Providence College
Jeff Turner,206,104,Vanderbilt University
Melvin Turpin,211,108,University of Kentucky
Willie White,190,88,University of Tennessee at Chattanooga
Eddie Lee,190,88,
Dale Wilkinson,208,99,Idaho State University
Guy Williams,188,79,University of Southern California
Kevin Willis,188,79,St. John's University
Othell Wilson,183,86,University of Virginia
Leon Wood,190,83,"California State University, Fullerton"
Danny Young,190,79,Wake Forest University
Michael Young,201,99,University of Houston
Michael Adams,178,73,Boston College
John Battle,188,79,Rutgers University
Benoit Benjamin,213,113,Creighton University
Uwe Blab,216,114,Indiana University
Manute Bol,231,90,University of Bridgeport
Mike Brittain,213,106,University of South Carolina
Terry Catledge,203,99,University of South Alabama
Lorenzo Charles,201,102,North Carolina State University
Fred Cofield,190,86,Eastern Michigan University
David Cooke,203,104,Saint Mary's College of California
Tyrone Corbin,198,95,DePaul University
Ron Crevier,213,106,Boston College
Jeff Cross,208,108,University of Maine
Joe Dumars*,190,86,McNeese State University
Patrick Ewing*,213,108,Georgetown University
Georgi Glouchkov,203,106,
A.C. Green,203,106,
Ken Green,203,97,University of Texas-Pan American
Kenny Green,203,97,University of Texas-Pan American
Claude Gregory,203,92,University of Wisconsin
Steve Harris,196,88,University of Tulsa
Jerome Henderson,211,104,University of New Mexico
Carl Henry,198,92,University of Kansas
Alfredrick Hughes,198,92,
Ken Johnson,203,108,Michigan State University
Yvon Joseph,211,111,Georgia Institute of Technology
Harold Keeling,193,83,Santa Clara University
Joe Kleine,211,115,University of Arkansas
Jon Koncak,213,113,Southern Methodist University
Keith Lee,208,97,University of Memphis
Karl Malone*,206,113,Louisiana Tech University
Bill Martin,201,92,Georgetown University
Brian Martin,206,96,University of Kansas
Dwayne McClain,198,83,Villanova University
Xavier McDaniel,201,92,Wichita State University
Ben McDonald,203,95,"University of California, Irvine"
Chris McNealy,201,95,San Jose State University
Dirk Minniefield,190,81,University of Kentucky
Perry Moss,188,83,Northeastern University
Chris Mullin*,198,90,St. John's University
Charles Oakley,203,102,Virginia Union University
Michael Phelps,193,81,Alcorn State University
Ed Pinckney,206,88,Villanova University
Terry Porter,190,88,University of Wisconsin-Stevens Point
Blair Rasmussen,213,113,University of Oregon
Jerry Reynolds,203,90,Louisiana State University
Derrick Rowland,196,88,State University of New York at Potsdam
Detlef Schrempf,206,97,University of Washington
Carey Scurry,201,85,Long Island University
Mike Smrek,213,113,Canisius College
Alex Stivrins,203,99,University of Colorado
Greg Stokes,208,99,University of Iowa
Bob Thornton,208,102,"University of California, Irvine"
Wayman Tisdale,206,108,University of Oklahoma
Sedric Toney,188,80,University of Dayton
Nick Vanos,216,115,Santa Clara University
Sam Vincent,188,83,Michigan State University
Spud Webb,168,60,North Carolina State University
Bill Wennington,213,111,St. John's University
Gerald Wilkins,198,83,University of Tennessee at Chattanooga
Pete Williams,201,86,University of Arizona
Voise Winters,203,90,Bradley University
Rafael Addison,201,97,Syracuse University
Mark Alarie,203,98,Duke University
William Bedford,213,102,University of Memphis
Walter Berry,203,97,St. John's University
Joe Binion,203,106,North Carolina Agricultural and Technical State University
Adrian Branch,201,83,University of Maryland
Mike Brown,206,116,George Washington University
Ben Coleman,206,106,University of Maryland
Dell Curry,193,86,Virginia Polytechnic Institute and State University
Brad Daugherty,213,111,University of North Carolina
Johnny Dawkins,188,74,Duke University
Bruce Douglas,190,88,University of Illinois at Urbana-Champaign
Greg Dreiling,216,113,University of Kansas
Kevin Duckworth,213,124,Eastern Illinois University
Dave Feitl,211,106,University of Texas at El Paso
Kenny Gattison,203,102,Old Dominion University
Grant Gondrezick,196,92,Pepperdine University
Ron Harper,198,83,Miami University
Cedric Henderson,203,95,University of Georgia
Kevin Henderson,193,88,"California State University, Fullerton"
Conner Henry,201,88,"University of California, Santa Barbara"
Jeff Hornacek,190,86,Iowa State University
Myron Jackson,190,83,University of Arkansas at Little Rock
Buck Johnson,201,86,University of Alabama
Steffond Johnson,203,99,Murray State University
Anthony Jones,198,88,"University of Nevada, Las Vegas"
Tim Kempton,208,111,University of Notre Dame
Curtis Kitchen,206,106,University of South Florida
Larry Krystkowiak,206,99,University of Montana
Jim Lampley,208,104,University of Arkansas at Little Rock
Fernando Martin,206,99,
Maurice Martin,198,90,Saint Joseph's University
Forrest McKenzie,201,90,Loyola Marymount University
Nate McMillan,196,88,North Carolina State University
Cozell McQueen,211,106,North Carolina State University
Pete Myers,198,81,University of Arkansas at Little Rock
Johnny Newman,201,86,University of Richmond
Dennis Nutt,188,77,Texas Christian University
Chuck Person,203,99,Auburn University
Dwayne Polee,196,81,Pepperdine University
Harold Pressley,201,95,Villanova University
Mark Price,183,77,Georgia Institute of Technology
Dennis Rodman*,201,95,Southeastern Oklahoma State University
Johnny Rogers,208,102,"University of California, Irvine"
Ron Rowan,196,90,St. John's University
John Salley,211,104,Georgia Institute of Technology
Brad Sellers,213,95,Ohio State University
McKinley Singleton,196,79,University of Alabama at Birmingham
Scott Skiles,185,81,Michigan State University
Clinton Smith,198,95,Cleveland State University
Keith Smith,190,77,University of North Carolina
Otis Smith,196,95,Jacksonville University
Roy Tarpley,211,104,University of Michigan
Billy Thompson,201,88,University of Louisville
Andre Turner,180,72,University of Memphis
Kenny Walker,203,95,University of Kentucky
Chris Washburn,211,102,North Carolina State University
Pearl Washington,188,86,Syracuse University
John Williams,188,83,New Mexico State University
David Wingate,196,83,Georgetown University
Brad Wright,211,102,"University of California, Los Angeles"
Perry Young,196,95,Virginia Polytechnic Institute and State University
Mark Acres,211,99,Oral Roberts University
Steve Alford,188,83,Indiana University
Greg Anderson,208,104,University of Houston
Joe Arlauckas,206,104,Niagara University
Vincent Askew,198,95,University of Memphis
Nate Blackwell,193,77,Temple University
Muggsy Bogues,160,61,Wake Forest University
Norris Coleman,203,95,Kansas State University
Dallas Comegys,206,92,DePaul University
Winston Crite,201,105,Texas A&M University
Billy Donovan,180,77,Providence College
Chris Dudley,188,81,University of Washington
Jim Farmer,193,86,University of Alabama
Tellis Frank,208,102,Western Kentucky University
Kevin Gamble,196,95,University of Iowa
Winston Garland,188,77,Missouri State University
Armen Gilliam,206,104,"University of Nevada, Las Vegas"
Horace Grant,208,97,Clemson University
Dave Henderson,196,88,Duke University
Dave Hoppen,211,106,University of Nebraska
Dennis Hopson,196,90,Ohio State University
Eddie Hughes,178,74,Colorado State University
Mark Jackson,185,81,St. John's University
Michael Jackson,201,97,"California State University, Los Angeles"
Kannard Johnson,206,99,Western Kentucky University
Kevin Johnson,203,108,Michigan State University
Bart Kofoed,193,95,University of Nebraska at Kearney
Ralph Lewis,198,90,La Salle University
Reggie Lewis,201,88,Northeastern University
Brad Lohaus,211,104,University of Iowa
Derrick McKey,206,92,University of Alabama
Reggie Miller*,201,83,"University of California, Los Angeles"
Andre Moore,206,97,Loyola University of Chicago
Ron Moore,213,117,West Virginia State University
Ronnie Murphy,196,102,Jacksonville University
Tod Murphy,206,99,"University of California, Irvine"
Martin Nessley,218,117,Duke University
Ken Norman,203,97,University of Illinois at Urbana-Champaign
Scottie Pippen*,203,95,University of Central Arkansas
Olden Polynice,211,99,University of Virginia
Richard Rellford,198,104,University of Michigan
Scott Roth,203,96,University of Wisconsin
Brian Rowsom,206,99,University of North Carolina at Wilmington
Kenny Smith,190,77,University of North Carolina
John Stroeder,208,117,University of Montana
Mark Wade,180,72,"University of Nevada, Las Vegas"
Milt Wagner,196,83,University of Louisville
Jamie Waller,193,97,Virginia Union University
Duane Washington,193,88,Middle Tennessee State University
Chris Welp,213,111,University of Washington
Clinton Wheeler,185,83,William Paterson University
Eric White,203,90,Pepperdine University
Tony White,188,77,University of Tennessee
Reggie Williams,201,86,Georgetown University
Nikita Wilson,203,90,Louisiana State University
Ricky Wilson,196,90,University of Louisville
Rickie Winslow,203,102,University of Houston
Joe Wolf,211,104,University of North Carolina
Phil Zevenbergen,208,104,University of Washington
Randy Allen,203,99,Florida State University
Michael Anderson,180,83,Drexel University
Willie Anderson,201,86,University of Georgia
Ricky Berry,203,92,San Jose State University
Anthony Bowie,198,86,University of Oklahoma
Scott Brooks,180,74,"University of California, Irvine"
Mark Bryant,206,111,Seton Hall University
Greg Butler,211,108,Stanford University
Mike Champion,208,104,Gonzaga University
Rex Chapman,193,83,University of Kentucky
Derrick Chievous,201,88,University of Missouri
Mark Davis,198,88,Old Dominion University
Vinny Del,198,88,
Fennis Dembo,196,97,University of Wyoming
Ledell Eackles,196,99,University of New Orleans
Kevin Edwards,190,86,DePaul University
Wayne Englestad,203,111,"University of California, Irvine"
Rolando Ferreira,216,108,University of Houston
Duane Ferrell,201,94,Georgia Institute of Technology
Anthony Frederick,201,92,Pepperdine University
Corey Gaines,190,88,Loyola Marymount University
Tom Garrick,188,83,University of Rhode Island
Ben Gillery,213,106,Georgetown University
Orlando Graham,203,99,Auburn University at Montgomery
Ron Grandison,198,97,University of New Orleans
Gary Grant,190,83,University of Michigan
Harvey Grant,203,88,University of Oklahoma
Sylvester Gray,198,104,University of Memphis
Jeff Grayer,196,90,Iowa State University
Jack Haley,208,108,"University of California, Los Angeles"
Hersey Hawkins,190,86,Bradley University
Tito Horford,216,111,University of Miami
Avery Johnson,178,79,Southern University and A&M College
Bill Jones,201,79,University of Iowa
Shelton Jones,206,95,St. John's University
Steve Kerr,190,79,University of Arizona
Randolph Keys,201,88,University of Southern Mississippi
Jerome Lane,198,104,University of Pittsburgh
Andrew Lang,211,111,University of Arkansas
Eric Leckner,211,120,University of Wyoming
Jim Les,180,74,Bradley University
Rob Lock,206,102,University of Kentucky
Grant Long,203,102,Eastern Michigan University
Dan Majerle,198,97,Central Michigan University
Danny Manning,208,104,University of Kansas
Vernon Maxwell,193,81,University of Florida
Todd Mitchell,201,92,Purdue University
Chris Morris,203,95,Auburn University
Richard Morton,190,86,"California State University, Fullerton"
Craig Neal,196,74,Georgia Institute of Technology
Jose Ortiz,208,102,Oregon State University
Will Perdue,213,108,Vanderbilt University
Tim Perry,206,90,Temple University
Dave Popson,208,99,University of North Carolina
Dominic Pressley,188,77,Boston College
Mitch Richmond*,196,97,Kansas State University
Ramon Rivas,208,117,Temple University
David Rivers,183,77,University of Notre Dame
Rob Rose,196,81,George Mason University
Jim Rowinski,203,113,Purdue University
Rony Seikaly,211,104,Syracuse University
Charles Shackleford,208,102,North Carolina State University
John Shasky,211,106,University of Minnesota
Brian Shaw,198,86,"University of California, Santa Barbara"
Keith Smart,185,79,Indiana University
Charles Smith,208,104,University of Pittsburgh
Rik Smits,224,113,Marist College
John Starks,190,81,Oklahoma State University
Everette Stephens,188,79,Purdue University
Rod Strickland,196,90,Jacksonville University
Barry Sumpter,211,97,Austin Peay State University
Anthony Taylor,193,79,University of Oregon
Tom Tolbert,201,106,University of Arizona
Kelvin Upshaw,188,81,University of Utah
Morlon Wiley,193,83,"California State University, Long Beach"
Micheal Williams,188,82,Lincoln University of Missouri
David Wood,206,102,"University of Nevada, Reno"
Nick Anderson,198,92,University of Illinois at Urbana-Champaign
Michael Ansley,201,102,University of Alabama
B.J. Armstrong,201,102,
Dana Barros,180,73,Boston College
Kenny Battle,198,95,University of Illinois at Urbana-Champaign
Winston Bennett,201,95,University of Kentucky
Mookie Blaylock,183,81,University of Oklahoma
Chucky Brown,201,97,North Carolina State University
Raymond Brown,203,99,University of Idaho
Stanley Brundy,198,95,DePaul University
Torgeir Bryn,206,113,Texas State University
Steve Bucknall,198,97,University of North Carolina
Adrian Caldwell,203,120,Lamar University
Lanard Copeland,198,86,Georgia State University
Terry Davis,206,102,Virginia Union University
Byron Dinkins,185,77,University of North Carolina at Charlotte
Vlade Divac,216,110,
Sherman Douglas,183,81,Syracuse University
Terry Dozier,206,95,University of South Carolina
Blue Edwards,193,90,East Carolina University
Jay Edwards,213,102,University of Washington
Sean Elliott,203,92,University of Arizona
Pervis Ellison,206,95,University of Louisville
Derrick Gervin,203,90,University of Texas at San Antonio
Greg Grant,170,63,Trenton State University
Scott Haffner,190,81,University of Evansville
Tom Hammonds,206,97,Georgia Institute of Technology
Tim Hardaway,183,79,University of Texas at El Paso
Mike Higgins,206,99,University of Northern Colorado
Ed Horton,203,104,University of Iowa
Byron Irvin,196,86,University of Missouri
Jaren Jackson,193,86,Georgetown University
Eric Johnson,188,92,University of Nebraska
Nate Johnston,203,95,University of Tampa
Shawn Kemp,208,104,Trinity Valley Community College
Stan Kimbrough,180,69,Xavier University
Stacey King,211,104,University of Oklahoma
Frank Kornet,206,102,Vanderbilt University
Jeff Lebo,188,81,University of North Carolina
Tim Legler,193,90,La Salle University
Gary Leonard,216,113,University of Missouri
Clifford Lett,190,77,University of Florida
Todd Lichti,193,92,Stanford University
Roy Marble,198,86,University of Iowa
Sarunas Marciulionis*,196,90,
Jeff Martin,196,88,Murray State University
Anthony Mason,201,113,Tennessee State University
Bob McCann,198,110,Morehead State University
Mel McCants,203,108,Purdue University
George McCloud,198,92,Florida State University
Carlton McKinney,193,86,Southern Methodist University
Scott Meents,208,102,University of Illinois at Urbana-Champaign
Sam Mitchell,198,95,Mercer University
Mike Morrison,193,88,Loyola College in Maryland
John Morton,190,81,Seton Hall University
Dyron Nix,201,95,University of Tennessee
Zarko Paspalj,206,97,
Kenny Payne,203,88,University of Louisville
Drazen Petrovic*,196,88,
Brian Quinnett,203,106,Washington State University
J.R. Reid,203,106,
Glen Rice,201,97,University of Michigan
Pooh Richardson,185,81,"University of California, Los Angeles"
Clifford Robinson,206,99,University of Southern California
David Robinson*,216,106,United States Naval Academy
Doug Roth,211,115,University of Tennessee
Donald Royal,203,95,University of Notre Dame
Delaney Rudd,188,81,Wake Forest University
Jeff Sanders,203,102,Georgia Southern University
Dexter Shouse,188,90,University of South Alabama
Michael Smith,208,102,Brigham Young University
Jay Taylor,190,86,Eastern Illinois University
Leonard Taylor,203,99,University of California
Henry Turner,188,88,University of Nebraska
Gary Voce,206,108,University of Notre Dame
Alexander Volkov,208,98,
Doug West,198,90,Villanova University
Randy White,203,108,Louisiana Tech University
Mike Williams,188,82,Lincoln University of Missouri
Haywoode Workman,188,81,Oral Roberts University
Alaa Abdelnaby,208,108,Duke University
Mahmoud Abdul-Rauf,188,83,"University of California, Los Angeles"
Keith Askins,201,89,University of Alabama
Milos Babic,213,108,Tennessee Technological University
Cedric Ball,203,95,University of North Carolina at Charlotte
Lance Blanks,193,86,University of Texas at Austin
Anthony Bonner,203,97,Saint Louis University
Dee Brown,185,72,Jacksonville University
Jud Buechler,198,99,University of Arizona
Matt Bullard,208,97,University of Iowa
Willie Burton,203,95,University of Minnesota
Rick Calloway,198,81,University of Kansas
Elden Campbell,211,97,Clemson University
Duane Causwell,213,108,Temple University
Cedric Ceballos,198,86,"California State University, Fullerton"
Richard Coffey,198,96,University of Minnesota
Derrick Coleman,208,104,Syracuse University
Bimbo Coles,185,81,Virginia Polytechnic Institute and State University
Anthony Cook,206,92,University of Arizona
Tony Dawson,201,97,Florida State University
Mario Elie,196,95,American International College
A.J. English,196,95,
Danny Ferry,208,104,Duke University
Greg Foster,211,108,University of Texas at El Paso
Tate George,196,86,University of Connecticut
Kendall Gill,196,88,University of Illinois at Urbana-Champaign
Gerald Glass,196,100,University of Mississippi
Dan Godfread,208,113,University of Evansville
Jim Grandholm,213,106,University of South Florida
Tony Harris,190,86,University of New Orleans
Steve Henson,180,80,Kansas State University
Sean Higgins,206,92,University of Michigan
Tyrone Hill,206,108,Xavier University
Dave Jamerson,196,86,Ohio University
Henry James,203,99,St. Mary's University
Les Jepsen,213,107,University of Iowa
Alec Kessler,211,104,University of Georgia
Bo Kimble,193,86,Loyola Marymount University
Negele Knight,185,79,University of Dayton
Kurk Lee,190,86,Towson University
Marcus Liberty,203,92,University of Illinois at Urbana-Champaign
Ian Lockhart,203,108,University of Tennessee
Tony Massenburg,206,99,University of Maryland
Travis Mays,188,86,University of Texas at Austin
Terry Mills,208,104,University of Michigan
Chris Munk,206,102,University of Southern California
Jerrod Mustaf,208,107,University of Maryland
Dan O'Sullivan,208,113,Fordham University
Alan Ogg,218,108,University of Alabama at Birmingham
Brian Oliver,193,95,Georgia Institute of Technology
Gerald Paddio,201,92,"University of Nevada, Las Vegas"
Walter Palmer,216,97,Dartmouth College
Gary Payton*,193,81,Oregon State University
Kevin Pritchard,190,81,University of Kansas
Larry Robinson,190,81,Centenary College of Louisiana
Rumeal Robinson,188,88,University of Michigan
Steve Scheffler,206,113,Purdue University
